SITENAME,Plot,Date,Salinity,NandN,NO2,NH4,SRP,DOC,NO3
SRS2,2,2009-02-01,0.0,0.32,0.43,188.79,0.00,1799.167,0
SRS2,3,2009-02-01,0.0,0.42,0.58,-9999.00,0.00,2045.833,0
SRS2,1,2009-11-01,0.0,1.00,1.00,165.08,0.00,3645.500,0
SRS2,2,2009-11-01,0.0,1.61,1.33,255.38,0.28,3528.833,0.28
SRS2,3,2009-11-01,0.0,1.36,0.81,220.00,0.55,2540.500,0.55
SRS2,1,2010-01-01,0.0,0.48,0.21,158.99,0.26,2735.000,0.26
SRS2,2,2010-01-01,0.0,0.48,0.25,254.90,0.23,3004.167,0.23
SRS2,3,2010-01-01,0.0,2.59,0.08,49.97,2.51,1977.500,2.51
SRS2,1,2010-11-01,0.0,1.24,1.18,168.82,0.06,3484.167,0.06
SRS2,2,2010-11-01,0.0,0.82,0.77,142.62,0.05,2334.167,0.05
SRS2,3,2010-11-01,0.0,1.22,1.04,333.84,0.18,2387.500,0.18
SRS2,1,2011-01-01,0.0,0.74,0.23,124.50,0.51,2892.000,0.51
SRS2,2,2011-01-01,0.0,0.84,0.63,100.50,0.22,1582.667,0.22
SRS2,3,2011-01-01,0.0,1.51,0.23,308.30,1.28,1609.000,1.28
SRS2,1,2011-11-01,0.0,1.34,0.90,82.46,0.43,3774.000,0.43
SRS2,2,2011-11-01,0.0,1.01,0.64,130.82,0.37,2594.000,0.37
SRS2,3,2011-11-01,0.0,0.64,0.63,174.70,0.02,2614.000,0.02
SRS2,1,2012-01-01,0.0,0.67,0.20,7.15,0.48,2781.667,0.48
SRS2,2,2012-01-01,0.0,1.00,0.53,237.77,0.47,3175.000,0.47
SRS2,3,2012-01-01,0.0,0.60,0.29,176.70,0.31,1996.667,0.31
SRS2,1,2012-11-01,0.0,0.60,0.54,134.06,0.07,1355.833,0.07
SRS2,2,2012-11-01,0.0,0.45,0.29,195.06,0.16,914.167,0.16
SRS2,3,2012-11-01,0.0,0.26,0.21,91.07,0.05,975.000,0.05
SRS2,1,2013-01-01,0.0,0.41,0.30,96.09,0.10,2653.167,0.1
SRS2,2,2013-01-01,0.0,0.58,0.51,226.94,0.07,1900.833,0.07
SRS2,3,2013-01-01,0.0,0.38,0.28,102.48,0.11,1423.333,0.11
SRS3,1,2001-01-01,0.0,-9999.00,0.05,54.85,0.25,2051.667,0.25
SRS3,1,2001-11-01,0.0,1.15,0.09,3.72,1.06,1400.000,1.06
SRS3,3,2001-11-01,0.0,0.10,0.06,31.89,0.04,1909.167,0.04
SRS3,1,2003-11-01,0.0,0.67,0.61,116.16,0.06,1648.333,0.06
SRS3,2,2003-11-01,0.0,1.31,0.96,119.78,0.36,2167.500,0.36
SRS3,3,2003-11-01,0.0,0.37,0.29,32.67,0.08,1729.167,0.08
SRS3,1,2004-01-01,0.0,0.90,0.90,-9999.00,0.00,1919.167,0
SRS3,2,2004-01-01,0.0,1.14,1.01,-9999.00,0.14,1966.667,0.14
SRS3,3,2004-01-01,0.0,1.00,1.00,87.16,0.00,2885.000,0
SRS3,1,2004-11-01,0.0,1.25,0.36,169.16,0.89,1852.500,0.89
SRS3,2,2004-11-01,0.0,0.97,0.00,162.83,0.97,2059.167,0.97
SRS3,3,2004-11-01,0.0,0.44,0.94,47.57,0.00,1523.333,0
SRS3,-9999,2005-01-01,0.0,1.60,0.24,140.38,1.36,2272.500,1.36
SRS3,-9999,2005-01-01,0.0,1.68,0.00,137.45,1.68,2659.583,1.68
SRS3,-9999,2005-01-01,0.0,1.08,0.59,72.26,0.50,2065.833,0.5
SRS3,1,2005-12-01,0.0,0.67,0.43,132.29,0.24,2727.500,0.24
SRS3,2,2005-12-01,0.0,1.54,1.44,189.39,0.11,2734.167,0.11
SRS3,3,2005-12-01,0.0,0.00,0.00,167.75,0.00,2928.333,0
SRS3,1,2006-01-01,0.0,0.45,0.45,154.97,0.00,-9999.000,0
SRS3,2,2006-01-01,0.0,0.86,1.19,140.37,0.00,-9999.000,0
SRS3,3,2006-01-01,0.0,1.48,1.47,192.38,0.01,-9999.000,0.01
SRS3,1,2006-11-01,0.0,0.32,0.20,112.71,0.12,1271.667,0.12
SRS3,2,2006-11-01,0.0,0.22,0.37,50.48,0.00,1397.500,0
SRS3,3,2006-11-01,0.0,0.25,0.33,247.45,0.00,1190.000,0
SRS3,1,2007-01-01,0.0,0.32,0.19,49.64,0.13,2555.000,0.13
SRS3,2,2007-01-01,0.0,0.51,0.42,33.73,0.08,3871.667,0.08
SRS3,3,2007-01-01,0.0,0.53,0.65,224.71,0.00,2702.500,0
SRS3,1,2009-01-01,0.0,0.48,0.37,162.03,0.11,2442.500,0.11
SRS3,2,2009-01-01,0.0,0.49,0.49,224.17,0.00,2599.167,0
SRS3,3,2009-01-01,0.0,0.42,0.42,237.75,0.00,2515.833,0
SRS3,1,2009-02-01,0.0,0.39,0.39,158.92,0.00,2437.500,0
SRS3,2,2009-02-01,0.0,0.56,0.79,206.86,0.00,2497.500,0
SRS3,3,2009-02-01,0.0,0.32,0.42,206.71,0.00,2235.833,0
SRS3,1,2009-11-01,0.0,0.87,0.82,216.01,0.05,2750.500,0.05
SRS3,2,2009-11-01,0.0,0.82,0.82,201.55,0.00,2790.500,0
SRS3,3,2009-11-01,0.0,1.37,1.37,216.51,0.00,3008.833,0
SRS3,1,2010-01-01,0.0,0.50,0.43,168.03,0.07,2373.333,0.07
SRS3,2,2010-01-01,0.0,0.47,0.47,108.63,0.00,2435.000,0
SRS3,3,2010-01-01,0.0,0.12,0.12,86.01,0.00,2373.333,0
SRS3,1,2010-11-01,0.0,0.55,0.55,53.96,0.01,2215.833,0.01
SRS3,2,2010-11-01,0.0,0.52,0.42,61.61,0.10,2091.667,0.1
SRS3,3,2010-11-01,0.0,1.06,1.01,147.23,0.05,2264.167,0.05
SRS3,1,2011-01-01,0.0,0.23,0.20,21.93,0.03,1873.333,0.03
SRS3,2,2011-01-01,0.0,0.25,0.25,88.57,-9999.00,2286.333,-9999
SRS3,3,2011-01-01,0.0,0.43,0.39,73.13,0.03,1804.333,0.03
SRS3,3,2011-11-01,0.0,0.61,0.59,86.35,0.02,2300.667,0.02
SRS3,1,2012-01-01,0.0,0.58,0.30,60.18,0.28,2055.833,0.28
SRS3,2,2012-01-01,0.0,0.83,0.47,44.72,0.36,3180.000,0.36
SRS3,3,2012-01-01,0.0,0.80,0.39,112.30,0.42,2423.333,0.42
SRS3,1,2012-11-01,0.0,0.47,0.36,86.49,0.12,890.000,0.12
SRS3,2,2012-11-01,0.0,0.37,0.29,42.13,0.08,905.000,0.08
SRS3,3,2012-11-01,0.0,0.57,0.48,59.77,0.09,1015.000,0.09
SRS3,1,2013-01-01,0.0,0.28,0.14,55.49,0.15,1838.333,0.15
SRS3,2,2013-01-01,0.0,0.29,0.17,8.48,0.12,1580.000,0.12
SRS3,3,2013-01-01,0.0,0.57,0.55,20.52,0.02,1997.500,0.02
SRS1d,1,2013-11-01,0.0,0.62,0.60,281.22,0.02,2261.333,0.02
SRS1d,2,2013-11-01,0.0,0.31,0.21,98.38,0.10,1759.667,0.1
SRS1d,3,2013-11-01,0.0,0.63,0.54,274.43,0.09,1844.667,0.09
SRS1d,1,2014-01-01,0.0,0.23,0.18,298.93,0.05,1747.000,0.05
SRS1d,2,2014-01-01,0.0,0.19,0.12,275.23,0.07,1953.667,0.07
SRS1d,3,2014-01-01,0.0,0.29,0.17,142.58,0.12,1427.667,0.12
SRS2,1,2013-11-01,0.0,0.64,0.63,136.84,0.01,3293.000,0.01
SRS2,2,2013-11-01,0.0,0.25,0.14,88.49,0.10,1410.667,0.1
SRS2,3,2013-11-01,0.0,0.85,0.65,295.88,0.20,1776.333,0.2
SRS2,1,2014-01-01,0.0,0.36,0.19,312.61,0.17,2512.000,0.17
SRS2,2,2014-01-01,0.0,1.16,0.96,300.54,0.21,1925.333,0.21
SRS2,3,2014-01-01,0.0,1.27,0.95,249.22,0.32,1615.000,0.32
SRS3,1,2013-11-01,0.0,0.39,0.34,81.44,0.05,1876.333,0.05
SRS3,2,2013-11-01,0.0,0.42,0.40,25.05,0.01,2201.333,0.01
SRS3,3,2013-11-01,0.0,0.57,0.53,16.18,0.04,1958.000,0.04
SRS3,1,2014-01-01,0.0,1.00,0.67,22.71,0.33,1812.000,0.33
SRS3,2,2014-01-01,0.0,1.29,1.04,16.05,0.24,2071.667,0.24
SRS3,3,2014-01-01,0.0,1.39,1.20,19.52,0.20,2130.000,0.2
SRS1d,1,2014-11-01,0.0,0.07,0.07,191.89,0.00,2586.667,0
SRS1d,2,2014-11-01,0.0,0.10,0.07,148.17,0.03,2070.000,0.03
SRS1d,3,2014-11-01,0.0,0.09,0.04,193.80,0.05,2058.333,0.05
SRS1d,1,2015-01-01,0.0,0.16,0.15,181.48,0.01,2774.167,0.01
SRS1d,2,2015-01-01,0.0,0.10,0.09,274.26,0.00,2612.500,0
SRS1d,3,2015-01-01,0.0,0.12,0.11,185.73,0.01,2554.583,0.01
SRS1d,1,2015-11-01,0.0,0.22,0.15,142.47,0.07,2827.333,0.07
SRS1d,2,2015-11-01,0.0,0.21,0.10,239.83,0.11,3210.667,0.11
SRS1d,3,2015-11-01,0.0,0.15,0.12,42.72,0.02,2212.333,0.02
SRS1d,1,2016-01-01,0.0,0.41,0.11,170.13,0.30,2591.333,0.3
SRS1d,2,2016-01-01,0.0,0.20,0.10,251.50,0.10,2493.333,0.1
SRS1d,3,2016-01-01,0.0,0.44,0.20,136.54,0.24,2402.333,0.24
SRS2,1,2014-11-01,0.0,0.07,0.05,230.88,0.02,2158.333,0.02
SRS2,2,2014-11-01,0.0,0.08,0.05,166.68,0.02,1793.333,0.02
SRS2,3,2014-11-01,0.0,0.08,0.05,182.08,0.03,1563.667,0.03
SRS2,1,2015-01-01,0.0,0.10,0.09,257.47,0.01,2299.583,0.01
SRS2,2,2015-01-01,0.0,0.14,0.08,133.25,0.05,1806.667,0.05
SRS2,3,2015-01-01,0.0,0.11,0.07,139.17,0.04,1714.167,0.04
SRS2,1,2015-11-01,0.0,0.15,0.14,261.41,0.01,2937.333,0.01
SRS2,2,2015-11-01,0.0,0.23,0.11,42.07,0.12,1715.667,0.12
SRS2,3,2015-11-01,0.0,0.23,0.12,230.74,0.11,2105.667,0.11
SRS2,1,2016-01-01,0.0,0.33,0.33,248.72,0.00,2641.000,0
SRS2,2,2016-01-01,0.0,0.21,0.12,214.52,0.10,1867.000,0.1
SRS2,3,2016-01-01,0.0,0.22,0.18,161.17,0.03,1904.667,0.03
SRS3,1,2014-11-01,0.0,0.12,0.06,43.51,0.06,2058.333,0.06
SRS3,2,2014-11-01,0.0,0.19,0.12,11.30,0.07,2826.667,0.07
SRS3,3,2014-11-01,0.0,0.31,0.26,40.85,0.05,2218.333,0.05
SRS3,1,2015-01-01,0.0,0.14,0.11,65.61,0.03,2307.500,0.03
SRS3,2,2015-01-01,0.0,0.10,0.10,2.44,0.01,2463.333,0.01
SRS3,3,2015-01-01,0.0,0.17,0.16,71.42,0.01,3129.583,0.01
SRS3,3,2015-11-01,0.0,0.25,0.21,77.24,0.04,1904.000,0.04
SRS3,1,2016-01-01,0.0,0.49,0.40,85.99,0.09,1787.333,0.09
SRS3,2,2016-01-01,0.0,0.54,0.43,21.67,0.11,2233.000,0.11
SRS3,3,2016-01-01,0.0,0.46,0.39,116.47,0.07,2252.333,0.07
SRS1d,1,2016-11-01,0.0,0.66,0.19,282.20,0.46,1035.000,0.46
SRS1d,2,2016-11-01,0.0,0.68,0.15,376.71,0.52,1190.000,0.52
SRS1d,3,2016-11-01,0.0,0.59,0.18,287.63,0.40,845.000,0.4
SRS1d,1,2017-01-01,0.0,1.15,0.29,227.57,0.86,2249.167,0.86
SRS1d,2,2017-01-01,0.0,0.35,0.32,274.26,0.04,1835.833,0.04
SRS1d,3,2017-01-01,0.0,0.44,0.25,231.60,0.19,1907.500,0.19
SRS2,1,2016-11-01,0.0,0.71,0.17,134.62,0.53,1293.333,0.53
SRS2,2,2016-11-01,0.0,0.43,0.09,58.65,0.33,570.917,0.33
SRS2,3,2016-11-01,0.0,0.55,0.15,191.38,0.39,810.583,0.39
SRS2,1,2017-01-01,0.0,0.47,0.18,75.75,0.29,2331.667,0.29
SRS2,2,2017-01-01,0.0,0.31,0.18,153.14,0.13,1665.000,0.13
SRS2,3,2017-01-01,0.0,0.30,0.23,48.88,0.07,1451.667,0.07
SRS3,1,2016-11-01,0.0,1.22,0.15,7.13,1.06,667.000,1.06
SRS3,2,2016-11-01,0.0,0.37,0.18,90.76,0.18,1061.667,0.18
SRS3,3,2016-11-01,0.0,0.46,0.22,22.54,0.23,946.667,0.23
SRS3,1,2017-01-01,0.0,0.44,0.38,2.26,0.06,1684.167,0.06
SRS3,2,2017-01-01,0.0,0.41,0.37,23.21,0.03,608.833,0.03
SRS3,3,2017-01-01,0.0,0.42,0.29,71.64,0.13,659.250,0.13
SRS1d,1,2017-11-01,0.5,0.52,0.28,193.43,0.24,1745.333,0.24
SRS1d,2,2017-11-01,0.3,0.43,0.28,216.96,0.15,1180.667,0.15
SRS1d,3,2017-11-01,0.4,0.55,0.36,262.07,0.20,1573.333,0.2
SRS1d,1,2018-01-01,0.4,0.31,0.09,168.13,0.22,976.667,0.22
SRS1d,2,2018-01-01,0.3,0.28,0.10,243.34,0.18,759.583,0.18
SRS1d,3,2018-01-01,0.3,0.34,0.14,176.22,0.19,775.833,0.19
SRS2,1,2017-11-01,0.3,0.49,0.29,138.72,0.20,1442.333,0.2
SRS2,2,2017-11-01,0.2,0.68,0.38,97.59,0.30,1303.667,0.3
SRS2,3,2017-11-01,0.2,0.52,0.37,148.02,0.15,1214.333,0.15
SRS2,1,2018-01-01,0.4,0.90,0.15,52.66,0.74,646.583,0.74
SRS2,2,2018-01-01,0.3,0.29,0.15,226.08,0.15,488.250,0.15
SRS2,3,2018-01-01,0.4,0.18,0.09,31.98,0.08,407.000,0.08
SRS3,1,2017-11-01,0.3,0.75,0.26,33.35,0.49,1281.333,0.49
SRS3,2,2017-11-01,0.4,0.83,0.42,47.42,0.40,1803.333,0.4
SRS3,3,2017-11-01,0.5,0.65,0.43,88.53,0.22,2188.667,0.22
SRS3,1,2018-01-01,0.5,0.23,0.10,25.65,0.14,629.750,0.14
SRS3,2,2018-01-01,0.5,0.19,0.13,23.21,0.06,798.083,0.06
SRS3,3,2018-01-01,0.5,0.25,0.17,62.07,0.09,1868.333,0.09
SRS1d,1,2018-11-01,0.6,0.23,0.25,514.90,-9999.00,2003.000,-9999
SRS1d,2,2018-11-01,0.6,0.25,0.14,260.70,-9999.00,2233.000,-9999
SRS1d,3,2018-11-01,0.6,0.19,0.20,565.90,-9999.00,2199.667,-9999
SRS2,1,2018-11-01,0.4,0.23,0.23,139.43,-9999.00,1719.667,-9999
SRS2,2,2018-11-01,0.3,0.16,0.25,131.10,-9999.00,1397.833,-9999
SRS2,3,2018-11-01,0.3,0.21,0.22,171.83,-9999.00,1340.667,-9999
SRS3,1,2018-11-01,0.4,0.21,0.21,32.92,-9999.00,1457.000,-9999
SRS3,2,2018-11-01,0.4,0.30,0.24,33.26,-9999.00,1668.000,-9999
SRS3,3,2018-11-01,0.5,0.25,0.45,67.98,-9999.00,2453.000,-9999
SRS1d,1,2019-01-01,0.5,0.22,0.18,205.05,-9999.00,2221.667,-9999
SRS1d,2,2019-01-01,0.5,3.88,0.17,488.00,3.71,2090.833,3.71
SRS1d,3,2019-01-01,0.6,0.32,0.12,473.90,-9999.00,2116.667,-9999
SRS2,1,2019-01-01,0.5,0.20,0.15,88.22,-9999.00,1630.000,-9999
SRS2,2,2019-01-01,0.5,0.79,0.17,62.40,-9999.00,1348.333,-9999
SRS2,3,2019-01-01,0.6,0.15,0.14,33.06,-9999.00,1323.333,-9999
SRS3,1,2019-01-01,0.6,0.64,0.20,10.37,-9999.00,1414.167,-9999
SRS3,2,2019-01-01,0.5,0.33,0.19,10.15,-9999.00,1845.000,-9999
SRS3,3,2019-01-01,0.5,0.21,0.21,52.30,-9999.00,2164.167,-9999
SRS1d,1,2019-11-01,0.6,0.73,0.15,198.08,-9999.00,1961.667,-9999
SRS1d,2,2019-11-01,0.6,0.41,0.18,340.45,-9999.00,2382.978,-9999
SRS1d,3,2019-11-01,0.7,0.40,0.23,642.20,-9999.00,2731.645,-9999
SRS1d,1,2020-01-01,0.6,0.50,0.12,202.20,0.38,1824.167,0.381
SRS1d,2,2020-01-01,0.6,0.24,0.10,358.60,0.14,2120.833,0.137
SRS1d,3,2020-01-01,0.6,0.59,0.08,476.90,0.51,2363.333,0.509
SRS2,1,2019-11-01,0.4,0.52,0.30,83.10,-9999.00,2320.833,-9999
SRS2,2,2019-11-01,0.3,0.40,0.21,84.96,-9999.00,1772.500,-9999
SRS2,3,2019-11-01,0.3,0.60,0.23,117.70,-9999.00,1604.167,-9999
SRS2,1,2020-01-01,0.2,0.57,0.12,78.55,0.46,2097.500,0.456
SRS2,2,2020-01-01,0.3,0.36,0.07,68.91,0.29,1516.667,0.288
SRS2,3,2020-01-01,0.3,0.28,0.07,44.96,0.20,1543.333,0.205
SRS3,1,2019-11-01,0.4,0.34,0.26,32.09,-9999.00,1785.833,-9999
SRS3,2,2019-11-01,0.4,0.60,0.26,87.89,-9999.00,2031.667,-9999
SRS3,3,2019-11-01,0.5,0.34,0.26,132.02,-9999.00,2207.312,-9999
SRS3,1,2020-01-01,0.3,0.33,0.09,8.82,0.24,1662.500,0.239
SRS3,2,2020-01-01,0.4,0.33,0.10,36.77,0.22,1972.500,0.224
SRS3,3,2020-01-01,0.4,0.78,0.12,80.11,0.66,2055.833,0.659
